time,Hm0
2017-10-26 01:00:00,0.57
2017-10-26 02:00:00,0.52
2017-10-26 03:00:00,0.53
2017-10-26 04:00:00,0.55
2017-10-26 05:00:00,0.49
2017-10-26 06:00:00,0.49
2017-10-26 07:00:00,0.49
2017-10-26 08:00:00,0.48
2017-10-26 09:00:00,0.5
2017-10-26 10:00:00,0.52
2017-10-26 11:00:00,0.51
2017-10-26 12:00:00,0.53
2017-10-26 13:00:00,0.59
2017-10-26 14:00:00,0.64
2017-10-26 15:00:00,0.63
2017-10-26 16:00:00,0.61
2017-10-26 17:00:00,0.54
2017-10-26 18:00:00,0.52
2017-10-26 19:00:00,0.52
2017-10-26 20:00:00,0.5
2017-10-26 21:00:00,0.63
2017-10-26 22:00:00,0.63
2017-10-26 23:00:00,0.69
2017-10-27 00:00:00,0.92
2017-10-27 01:00:00,1.03
2017-10-27 02:00:00,1.24
2017-10-27 03:00:00,1.34
2017-10-27 04:00:00,1.55
2017-10-27 05:00:00,1.66
2017-10-27 06:00:00,1.8
2017-10-27 07:00:00,2.02
2017-10-27 08:00:00,2.08
2017-10-27 09:00:00,2.08
2017-10-27 10:00:00,2.15
2017-10-27 11:00:00,2.2
2017-10-27 12:00:00,2.15
2017-10-27 13:00:00,2.15
2017-10-27 14:00:00,2.09
2017-10-27 15:00:00,2.02
2017-10-27 16:00:00,2.03
2017-10-27 17:00:00,1.89
2017-10-27 18:00:00,1.75
2017-10-27 19:00:00,1.69
2017-10-27 20:00:00,1.77
2017-10-27 21:00:00,1.48
2017-10-27 22:00:00,1.5
2017-10-27 23:00:00,1.58
2017-10-28 00:00:00,1.69
2017-10-28 01:00:00,1.82
2017-10-28 02:00:00,-999.
2017-10-28 03:00:00,2.11
2017-10-28 04:00:00,2.28
2017-10-28 05:00:00,2.32
2017-10-28 06:00:00,2.33
2017-10-28 07:00:00,2.29
2017-10-28 08:00:00,2.43
2017-10-28 09:00:00,2.44
2017-10-28 10:00:00,2.42
2017-10-28 11:00:00,2.48
2017-10-28 12:00:00,2.46
2017-10-28 13:00:00,2.78
2017-10-28 14:00:00,2.72
2017-10-28 15:00:00,2.74
2017-10-28 16:00:00,2.62
2017-10-28 17:00:00,2.8
2017-10-28 18:00:00,2.99
2017-10-28 19:00:00,2.91
2017-10-28 20:00:00,2.96
2017-10-28 21:00:00,3.32
2017-10-28 22:00:00,2.87
2017-10-28 23:00:00,3.27
2017-10-29 00:00:00,3.39
2017-10-29 01:00:00,3.36
2017-10-29 02:00:00,4.13
2017-10-29 03:00:00,4.07
2017-10-29 04:00:00,4.01
2017-10-29 05:00:00,4.27
2017-10-29 06:00:00,3.97
2017-10-29 07:00:00,4.16
2017-10-29 08:00:00,3.89
2017-10-29 09:00:00,4.18
2017-10-29 10:00:00,3.63
2017-10-29 11:00:00,3.8
2017-10-29 12:00:00,3.47
2017-10-29 13:00:00,3.46
2017-10-29 14:00:00,3.37
2017-10-29 15:00:00,3.24
2017-10-29 16:00:00,3.23
2017-10-29 17:00:00,3.36
2017-10-29 18:00:00,3.23
2017-10-29 19:00:00,3.14
2017-10-29 20:00:00,2.88
2017-10-29 21:00:00,2.85
2017-10-29 22:00:00,2.62
2017-10-29 23:00:00,2.63
